epoch,train_loss,val_loss
1,24.956168270111085,23.42361068725586
2,24.627184899648032,23.05181646347046
3,24.1019549369812,22.497804005940754
4,23.44318208694458,21.82249625523885
5,22.656656583150227,21.066393216451008
6,21.8217134475708,20.194684823354084
7,20.899666436513265,19.284869352976482
8,19.915632406870525,18.39274501800537
9,18.97820126215617,17.457249482472736
10,17.991257413228354,16.516164620717365
11,17.024021275838216,15.600473562876383
12,16.149281183878582,14.746814092000326
13,15.297229957580566,13.964074293772379
14,14.544796975453695,13.287562370300293
15,13.914586798350017,12.742095311482748
16,13.45438756942749,12.336125691731771
17,13.136864503224691,12.084255456924438
18,12.950899028778077,11.909907738367716
19,12.817172781626384,11.764190832773844
20,12.689319324493407,11.61525328954061
